latitude,longitude,AGB
-10.23647488,-69.03518953,105.3635549
-9.907309874,-69.44591571,127.5997127
-9.725748211,-68.13596851,118.152409
-10.3551862,-69.11161228,282.8445595
-10.15865564,-69.2841397,283.7976281
-10.46724578,-68.54914359,31.84918438
-10.00637105,-69.40989262,201.1881023
-9.845463096,-69.13594486,251.7859298
-9.757509899,-68.64773692,222.4360427
-9.790507238,-68.97682599,141.003501
-10.18452033,-69.30989525,143.9009581
-10.31498795,-69.10019167,161.1721955
-10.71606566,-68.83719001,245.2355381
-10.28157814,-68.78321264,185.3425113
-9.649497888,-69.26742,277.2782273
-9.935118765,-69.44922294,283.2846143
-10.28065887,-68.58235328,204.203401
-10.35154875,-69.59558133,315.2239516
-9.747052465,-68.40368812,233.5219744
-10.55871927,-69.27315931,199.9576088
-10.72261383,-69.38796996,214.8587554
-9.97025722,-68.16848956,14.52429293
-10.04950514,-69.37515452,203.0160484
-10.08714092,-69.46226978,175.6862213
-9.663145037,-69.28337066,217.0008265
-10.51326761,-69.60169129,355.7831789
-9.621942141,-68.51739913,223.4291487
-9.91594182,-69.4560628,263.1340183
-9.690782404,-69.59380215,148.313768
-10.49938278,-68.92239718,164.6029049
-9.832822544,-69.29713528,171.7977464
-10.61825581,-69.04568304,198.9038304
-10.35608098,-69.09553582,129.6859622
-9.682677344,-69.26177486,220.8705705
-9.798607032,-69.00451833,151.8358671
-10.39865284,-68.83360981,399.7295021
-10.41312655,-68.68703596,335.3337657
-9.976461194,-68.55852849,31.35805703
-10.53600379,-69.54700677,181.1586337
-10.17647565,-68.52680005,273.9887446
-10.13949,-69.27682868,180.9061441
-10.00745966,-68.40956152,130.4787313
-10.37147766,-69.44780663,196.6518486
-10.11729891,-68.49045745,263.4050849
-10.71073007,-69.36476795,165.7618647
-10.0815396,-68.11878476,185.8713957
-9.838215054,-69.14767139,230.2880677
-10.61593859,-68.94717091,141.8969491
-10.39577453,-68.70285593,254.1184222
-9.935649994,-68.36380912,91.66658755
-10.5476242,-68.99770077,183.352148
-10.4158871,-68.85333436,311.5814064
-10.15886201,-69.5076361,213.4119596
-10.32638672,-68.59876745,330.3343857
-9.615326503,-69.13758521,269.1347934
-9.78319215,-69.25355476,312.0776088
-10.51151483,-69.20298569,266.6877635
-10.42605105,-69.17502329,223.4832388
-10.69174335,-69.43187703,137.9070737
-9.96953277,-68.56005061,212.2991416
-10.32392215,-69.17981425,211.1025355
-10.16678005,-69.28899962,334.4938825
-10.58126313,-69.41887289,137.0934787
-9.701718667,-69.31271971,241.0771606
-9.972944934,-68.40484432,133.4291141
-9.879771348,-69.46615844,257.6196024
-10.35402167,-69.11701907,106.1629347
-9.807536665,-69.1637712,198.22766
-10.56905979,-68.76427269,187.8798054
-9.655448167,-69.2995458,240.1363526
-10.19295769,-68.55986406,14.89151347
-10.4760667,-69.19836041,213.5647253
-10.21098741,-68.7240758,143.5910206
-10.35023698,-69.41808143,170.621906
-10.32177375,-69.38943584,219.0508755
-9.9512753,-68.50412047,224.5230744
-10.567941,-68.77004366,146.0918826
-9.617003585,-69.15248797,240.1372314
-10.09922956,-69.4996214,217.5115415
-10.2223971,-68.49383073,19.15752277
-10.12111771,-69.24929741,171.0873198
-9.709717618,-69.31160396,138.4782402
-10.31861522,-69.39470216,156.4171838
