latitude,longitude,AGB
-8.071886472,-72.5793053,169.2221567
-9.086299645,-71.77828681,39.62852265
-10.95530285,-69.08127256,305.424923
-8.858341486,-71.34056345,165.483888
-10.22437547,-69.24662637,313.2411397
-10.40893586,-69.72137442,403.1020119
-9.236262072,-70.61652897,355.0441271
-8.527330165,-70.47134935,237.0036755
-9.921694053,-70.58019704,112.2043586
-9.704141929,-69.58399435,249.8659339
-9.859146172,-71.19562576,324.2607794
-10.26477966,-68.61988,188.0645576
-10.25039555,-67.09450143,133.955382
-8.862687753,-69.52912682,195.3877832
-8.559752629,-70.4544516,235.6441209
-9.358881049,-72.54274111,199.2501868
-8.252718096,-70.26985998,193.7607728
-7.973796049,-70.47203206,234.5865204
-10.25416059,-70.36263152,199.3929772
-9.470542241,-67.96253069,124.9249383
-8.501875456,-73.2091706,220.7808204
-9.034443202,-69.9693495,141.8842782
-9.440783005,-68.05806965,166.2794844
-9.800131868,-71.01527997,386.1517457
-10.15467363,-69.50457541,222.1571335
-8.583271395,-73.00784375,194.2771188
-8.899209438,-72.22143393,392.6065898
-9.034320856,-68.81049186,340.9250923
-9.464746165,-70.77670178,165.0553259
-8.308918445,-69.9199675,224.2276522
-8.871407665,-72.87353609,315.6834468
-7.539483788,-73.91710724,340.8520483
-9.415872196,-68.14014896,152.4732455
-10.3086222,-69.07481558,137.5543924
-7.747387719,-72.72319919,247.8757677
-10.33024392,-69.40329239,308.415208
-8.52724025,-71.6772239,281.1658956
-9.011282129,-70.57884526,161.4521907
-8.536699588,-69.26311372,52.27872177
-7.954477586,-71.30718214,252.4550728
-10.12420443,-68.15501379,215.1902816
-10.45013512,-68.7565979,132.485873
-10.83369818,-70.16852277,266.2076043
-9.264735298,-70.63029435,265.806243
-8.631282985,-71.37350647,289.0743218
-7.768717941,-71.61302505,337.9635126
-10.1461842,-69.82809472,191.5227387
-8.718690856,-70.76862603,253.5279659
-8.682091214,-69.39758617,340.5837946
-9.222321835,-71.81868822,314.6399967
-9.015543561,-69.65440455,207.3073676
-10.84401841,-70.16259959,183.7702173
-10.82866809,-70.53647864,191.3872924
-10.21928683,-68.58632918,189.8778098
-10.02758728,-68.10851873,164.5151696
-9.213351836,-71.66207398,307.4202788
-10.48246418,-69.7685537,209.9922886
-8.925498812,-70.24198898,193.3471942
-8.369726222,-72.82457288,175.1922297
-7.998221043,-73.47556724,228.0020002
-9.728599238,-68.43926459,10.31543796
-8.425248692,-72.23632825,284.5636916
-7.875894729,-72.06516656,103.0990576
-10.17825269,-68.95718607,188.6806945
-8.325701758,-71.15914287,271.961984
-8.668422985,-71.42167273,390.7527936
-7.327091663,-73.60564155,141.5057159
-9.104146825,-68.88265767,202.2518063
-8.466067316,-69.39434037,324.2733402
-8.395517501,-69.46862219,248.0104086
-9.144987018,-70.69779763,267.2183904
-9.261147254,-69.5641248,84.38434354
-9.665543178,-69.31394317,148.232498
-11.00415459,-68.64245699,16.01908588
-9.408998011,-68.97919508,218.6706603
-9.977315866,-72.1137393,297.330237
-7.7914681,-72.94671603,131.392538
-7.988298046,-73.46157767,138.3486419
-8.198937434,-70.68852219,309.3952933
-10.65534541,-69.0376975,203.6489061
-9.680839443,-67.83039873,141.2827222
-9.496147472,-69.06386894,218.2597715
-8.180686261,-71.31484766,189.7809696
-9.392886935,-70.96135608,160.7922985
-10.76287253,-68.87886755,124.4075091
-8.604677599,-72.17581699,159.3353353
-10.11525943,-69.8952827,261.1177669
-10.49112559,-69.49991649,378.9754615
-9.483101384,-67.97172545,156.4957557
-8.962281936,-70.5814987,308.6243597
-9.522844706,-70.96041665,158.1255455
-10.2613092,-67.4101679,169.9067567
-10.39382781,-69.13759971,281.0763012
-11.03030695,-70.32369916,333.9825815
-8.684069578,-69.38450388,101.3279918
-9.042010279,-71.70051034,262.0767192
-8.552653679,-73.14415842,166.1586761
-9.512475022,-70.29369965,326.3708
-10.33304838,-68.59658226,117.6948452
-9.748978678,-71.11160254,26.81492285
-8.883994184,-71.89142131,153.9260047
-10.98799853,-70.15012336,227.2798701
-9.114443403,-72.18357961,197.8761564
-9.051064318,-69.96322523,135.4395566
-9.198099656,-70.59602052,398.3536225
-8.345098177,-71.28863271,179.750317
-7.98329515,-72.99896319,120.3245142
-8.699442039,-71.5012654,206.8010771
-8.072036812,-71.27311333,168.0032349
-9.275128508,-72.08348257,295.3506413
-8.756897533,-72.17152438,162.0449316
-8.652997565,-69.97172324,170.8525581
-9.708167185,-68.18234836,128.0408101
-10.95805972,-70.60524055,341.4890248
-10.11574421,-68.14396326,187.1862083
-8.81503841,-69.10715084,173.9265012
-7.804213648,-71.5435343,237.236008
-9.969554621,-69.86785598,134.8058189
-9.167629314,-69.32932851,102.6867312
-9.32262688,-70.44387932,316.2869977
-10.74047432,-70.52750353,190.4810042
-8.003046206,-70.87491759,217.0608206
-9.600329269,-68.09636826,154.375151
-8.021112705,-73.58127164,193.4350296
-8.446576059,-72.59206714,186.5756135
-9.842112925,-68.73831206,335.9451397
-7.929015505,-72.58510542,137.1299399
-8.478226779,-71.64155624,270.1322924
-9.944297839,-68.50599213,323.2690395
-8.31513709,-72.36838562,150.3524279
-9.482877732,-70.21069398,223.0685058
-8.748061029,-70.73087997,336.4887341
-10.92391574,-69.10741493,133.0689439
-9.772531271,-68.17033206,133.4902967
-11.02112005,-70.39360089,133.4150952
-10.45188048,-68.92269215,107.5569582
-7.941203192,-73.03459674,142.5574605
-8.389945209,-73.2803521,58.48997701
-10.60446839,-68.86363212,190.9010887
-8.337897068,-71.16037138,299.8522117
-8.81379366,-71.91332265,257.8659497
-10.04697512,-69.90779697,152.3608847
-9.172501869,-68.85304486,281.9423134
-9.903380761,-70.29797243,191.6788862
-7.996032398,-73.42529697,195.9232644
-9.439415081,-67.9260678,164.7135515
-9.4030889,-68.68446592,295.2780656
-10.30513695,-69.63019291,214.3069399
-8.908476977,-70.64700811,356.5594036
-8.023535364,-72.57990699,278.9332633
-8.661448156,-69.24229279,201.1562858
-9.903889073,-68.25231964,211.7625867
-7.69234528,-72.01782348,203.422732
-7.941916567,-73.02078973,160.9532186
-9.267977842,-70.49032504,145.4848159
-9.464811165,-69.77733815,113.1106194
-7.803236274,-71.43281296,265.7683238
-10.07511856,-70.40252788,169.729204
-9.846393762,-69.27076415,187.9063336
-9.481847367,-68.00443534,146.3410425
-9.369096978,-69.49875822,166.2551976
-8.085791702,-73.5390885,194.4438902
-10.31816186,-68.7742111,132.1069756
-8.873520482,-69.81847193,169.5906282
-9.237300351,-72.45379899,384.3570558
-9.682587158,-68.32115233,171.4931876
-9.991500672,-70.56256405,376.1374428
-10.02779824,-69.9329756,186.6612727
-10.81432367,-68.95254694,10.22211269
-7.952127566,-72.5793673,264.4992202
-8.610849574,-72.1536189,12.58430874
-8.969743459,-70.12787372,342.7818057
-10.85288196,-70.18980766,181.6353825
-8.036652431,-72.29465999,119.6090271
-10.32651097,-69.47081314,165.657787
-7.879323943,-72.1458176,204.6799696
-10.73140136,-69.40256097,263.8491609
-7.818550716,-71.42846726,278.4370723
-8.038328853,-72.29587161,161.9521897
-7.723927283,-72.87001154,116.643279
-9.051399325,-70.48897718,154.2594346
-8.371642549,-71.89154669,209.0439848
-8.919700283,-71.92859574,139.095686
-8.803351424,-69.05654578,106.7979122
-9.662586685,-70.21144954,340.1514317
-8.994239159,-71.66569073,178.6204178
-8.323970527,-69.93091169,168.0069767
-10.54063726,-69.01300499,328.0000981
-9.976214874,-68.25282142,10.04026187
-10.80341978,-69.92260951,329.8683075
-9.191069766,-69.7897259,184.1518402
-8.587872826,-72.11366143,332.7860768
-8.347285703,-70.61886753,189.7601594
-9.064001357,-68.71243463,266.6155053
-9.762575047,-67.77039295,14.37731014
-8.996567922,-71.80930847,181.9439599
-9.518081398,-69.98618206,198.777874
-7.635171908,-72.83182528,240.2536866
-8.238860146,-70.70420866,161.8272159
-8.378772792,-69.98500328,270.6539659
-10.62622744,-70.00842064,131.8229215
-7.809785087,-71.41846781,262.4210499
-10.05409907,-70.50989358,238.94821
-8.473170621,-71.41653322,213.733224
-9.708759813,-68.94616622,206.4906018
-9.124675342,-68.90476735,221.0585395
-10.20622254,-69.5856201,217.2396932
-7.534760594,-72.89769979,31.49726758
-8.624884559,-70.0069489,81.47274382
-8.240364252,-70.679823,358.6366825
-8.899387208,-69.56966109,224.6211771
-7.890205841,-71.20804431,340.7529347
-8.161861533,-69.84190042,344.5223585
-9.752978922,-71.27349278,390.5700749
-9.086058054,-70.6335547,138.2842804
-9.247948879,-72.65534367,209.3519007
-10.37446233,-69.80792755,323.7659658
-10.73554613,-68.8942014,15.69966613
-7.69951773,-71.54264653,217.7602598
-7.583831599,-73.94914541,304.691472
-8.518952553,-70.072456,255.7131399
-9.017089886,-71.79436829,186.1406727
-8.590138913,-71.55385279,227.3564805
-8.637807402,-70.93899117,10.75729663
-8.951112034,-71.40610342,217.4343624
-9.285637153,-71.83666242,187.487459
-9.408915832,-68.9644572,230.5919984
-10.80234322,-70.5627215,121.4172845
-8.163275892,-71.32098181,267.4690649
-9.996654547,-68.35571451,119.4494485
-9.611033843,-70.80825976,211.6429212
-10.66862779,-69.37293518,202.8494086
-10.33472185,-68.8361605,266.7392254
-7.772608806,-71.46176465,390.035595
-10.75302105,-69.99404331,110.6954015
-9.924458835,-70.60524355,179.9109951
-10.50999984,-70.28061202,160.7151754
-8.377457637,-72.54181714,203.4937602
-10.52015627,-67.71753792,141.0423207
-9.750278132,-68.13226736,177.1505029
-9.830314803,-70.06060113,16.27690596
-9.711452664,-69.24064243,207.1797233
-10.12368509,-67.55007515,130.6567634
-7.87000216,-72.48386006,155.6731247
-8.387230895,-71.18210302,353.7768738
-9.610003375,-68.05812615,123.8079656
-10.54943769,-68.98767496,228.9369404
-10.00368913,-69.93298192,217.1308651
-9.412345359,-71.60342624,273.6258645
-9.597849951,-70.06662357,210.4550501
-8.691207732,-72.09572241,326.8361484
-8.887637987,-71.33043007,207.8320931
-7.988184866,-72.21776345,283.8297727
-8.146922046,-73.20409019,191.4351956
-9.331570426,-71.58225216,215.8982038
-7.575151721,-73.75649614,204.4564654
-8.75401538,-69.45708326,133.0482164
-8.705429393,-73.07547795,191.5837731
-9.929061375,-68.53741318,239.5801771
-10.30289156,-68.0232734,330.3731262
-9.450534654,-68.02132758,283.0625767
-10.46576218,-70.20644132,346.4406646
-9.303162674,-70.68665397,188.9830536
-7.932718104,-73.60520762,350.2582053
-8.636545731,-71.51329812,182.5976733
-9.528424493,-70.85089027,205.0648377
-10.33671394,-69.48715014,180.6050462
-10.00522381,-68.57259232,121.8201706
-8.052091966,-70.82279877,205.804506
-9.738761105,-70.14101008,399.3202934
-9.955366212,-67.68068004,149.2420829
-9.685897332,-70.09690148,212.1450818
-9.978510103,-68.32154946,67.14001467
-10.72119821,-68.76596741,139.7362323
-10.41922088,-69.86189256,276.4345166
-10.11290021,-68.14933716,240.2487663
-9.376291711,-70.28866847,209.9757794
-9.007196206,-70.58663558,137.2851559
-10.85119848,-70.02678053,204.6468873
-10.37395096,-68.62678128,342.4962472
-9.25926468,-71.64521566,204.7478616
-8.570412032,-70.42311399,182.4765289
-8.862491058,-71.69299161,160.2203914
-9.694877367,-69.60874072,179.9295082
-8.548134179,-72.63806284,242.5082853
-8.942509706,-71.97230561,130.9928398
-10.84205383,-70.51215518,268.3471785
-7.183195874,-73.67454308,346.2899445
-7.766010679,-71.13227244,257.0243132
-8.230227229,-73.23658485,200.0992754
-10.64427175,-68.69490223,192.2293348
-10.92626419,-69.26921631,201.6516734
-10.65408316,-69.34834147,330.1621823
-8.256682292,-72.42186681,186.9822318
-9.903115508,-69.32694317,162.1881909
-9.550247467,-71.51237385,316.0376064
-10.83838946,-70.12984928,116.7970223
-8.139731641,-69.83293605,167.9070231
-10.83814912,-70.49982402,187.5833083
-9.431015093,-69.11442549,287.7061505
-9.838630943,-69.14736585,229.147832
-10.45140751,-69.89271631,152.9481901
-8.612051507,-70.00150531,184.7201272
-10.8687296,-69.34525064,236.959135
-8.470522196,-72.61648246,213.3784987
-8.424912616,-71.11464301,192.0040824
-9.596336305,-72.09244729,169.2293468
-8.552756307,-72.21360561,218.9132694
-9.364896228,-72.28805511,264.6026296
-9.094674424,-68.90998408,29.35988686
-9.5754911,-70.82306924,277.8836467
-9.580436192,-69.69251708,175.4682793
-9.028575227,-72.84251501,121.7710926
-8.918316794,-71.7057964,236.4710306
-7.862682004,-72.99834005,103.9181126
-10.26047071,-69.75049758,392.1355562
-8.302493201,-73.26787799,196.2312183
-10.0883612,-69.44867344,199.8333958
-8.287111884,-71.85061222,335.9186566
-9.436130757,-69.94057641,179.5545218
-10.44059312,-68.66926778,273.9492888
-9.090479682,-70.49765753,213.2561231
-9.85607641,-71.28801481,383.9433591
-9.39475234,-72.61141192,223.6449439
-8.459052299,-72.27502927,365.7050718
-8.866756047,-72.23292132,208.9542769
-8.406097528,-69.4213019,142.1104864
-10.39325057,-69.82180686,37.7393357
-9.158807681,-70.58010678,178.1499189
-9.242516901,-70.53548597,243.1019837
-10.13320922,-70.00975581,308.6659914
-7.42854369,-72.95339451,54.39916663
-8.687884177,-71.48265594,153.7914086
-10.03851213,-69.23311095,180.9073088
-8.904765619,-71.3068091,180.2907637
-9.488104169,-70.94886121,183.8045445
-10.49843817,-67.88901931,339.7619987
-8.864071473,-69.86751371,199.338561
-9.790108972,-69.35640821,154.5674968
-10.5126659,-69.91001572,276.8243101
-10.4511204,-69.63112647,31.05982422
-9.221888328,-68.81698621,16.34219014
-8.663111065,-73.06398645,309.234687
-8.788770772,-72.05198081,244.8847022
-10.33646196,-68.55661063,176.9899108
-7.791470813,-71.15781568,162.1329137
-7.645255267,-72.23869898,179.5090087
-9.877075731,-70.60623864,158.1549691
-9.216381021,-69.32284657,208.7186305
-10.80882429,-70.01009698,169.5392279
-10.88839509,-70.58897046,175.5345133
-7.968029094,-72.62668583,213.5681637
-7.754543122,-71.13112224,204.4333174
-10.44609021,-69.53755941,135.8929444
-9.901055172,-68.34492523,10.3911284
-9.563185491,-70.96802678,180.5039904
-8.876540305,-70.76504734,203.7600542
-8.329833841,-71.87464709,387.8255375
-7.964724294,-73.41666287,207.856716
-8.973670733,-70.69422226,191.0983003
-9.498356435,-71.49356961,229.2903107
-8.836183936,-70.43694241,353.1721328
-8.402068259,-72.25981607,153.9574882
-7.80875565,-73.29676222,174.1680094
-7.99530561,-73.44572335,187.7738741
-9.837918211,-69.78536446,116.1010094
-10.6490116,-70.41867787,228.9914236
-9.514929004,-70.96180648,228.5366322
-7.99035386,-70.46747676,362.2992764
-9.320859427,-71.88347088,118.5701951
-8.962112517,-69.13035455,50.45420949
-9.869447592,-67.50351258,111.0223189
-9.000662416,-70.42318406,195.2897742
-9.486199668,-69.05652516,228.4201067
-9.818376398,-67.75764575,128.0919731
-8.911699933,-70.66307044,310.8994615
-8.746284592,-70.11136318,257.4429513
-8.097488291,-71.39981233,240.5053131
-9.994518327,-69.39876576,293.3561711
-9.981221271,-70.36190086,227.8407541
-9.866011697,-67.49384601,338.8866047
-8.559136121,-71.32805011,363.7169268
-8.523148329,-71.0157622,167.4854892
-9.734642787,-71.31371546,155.6436074
-10.2263689,-69.01411651,188.3001275
-8.93477176,-72.91282557,220.6963332
-8.830751952,-72.03797362,288.4806999
-9.489980231,-67.69528176,10.38557168
-10.41224941,-69.47795774,360.5864225
-10.67242663,-68.8337137,128.8694212
-10.89798252,-69.0007778,15.79500473
-7.872750662,-72.45679103,195.9704319
-8.468189104,-71.36394025,192.9211371
-9.321906606,-69.89891417,256.2746913
-10.91295106,-69.51476225,126.7597309
-10.65484425,-70.42300249,148.9720835
-7.753536398,-71.49209328,355.0015749
-10.36201088,-68.68458426,198.2443406
-9.382489421,-71.64188997,168.430813
-9.063361577,-69.24611071,114.1759063
-9.139260804,-72.12314535,138.6754256
-10.30343083,-68.54653001,213.0588185
-8.709908686,-70.1060112,215.4554837
-10.4954458,-68.93401888,224.4434771
-7.206238641,-73.69108767,323.9040836
-8.906264782,-70.75437894,341.4029186
-8.644868983,-70.38587466,338.3079259
-8.802405148,-69.50613015,108.3442666
-10.35485764,-69.68145279,148.0074348
-10.4528574,-69.38428948,173.3303641
-9.356754172,-68.11057395,189.3603972
-10.27889209,-70.58128628,371.7856769
-10.41812231,-70.21276652,164.9974433
-10.40476001,-69.47241843,263.3549656
-10.83002143,-70.02584014,247.9045495
-8.907958345,-72.93544534,285.8219132
-9.994168282,-70.52677285,179.2628496
-9.266309941,-70.35277194,158.5656556
-9.482003308,-70.35034612,246.6501188
-7.865014804,-72.09659563,210.7778836
-8.053218103,-71.40728565,396.0390293
-8.472653128,-71.07002625,366.673892
-10.39691983,-68.61553009,20.27417158
-7.856151655,-70.57187556,158.1193275
-10.12276084,-68.6799059,172.8091415
-8.499269719,-71.27038412,188.3510728
-7.824722837,-71.53966498,176.0717641
-10.0846448,-68.19424269,188.6654379
-8.424996886,-71.59568296,336.4033832
-8.466682345,-71.39827745,123.6024443
-8.65619199,-70.09483062,222.7550225
-8.729715476,-70.78398557,217.9681621
-11.05613753,-68.58570129,65.56141127
-8.455889313,-72.25377584,351.9236516
-9.586425287,-69.24891757,162.6438316
-9.34390349,-70.70978929,162.2912842
-10.62961738,-70.0174539,148.6865816
-10.02708919,-70.37431582,328.8941822
-10.69829391,-69.34852343,26.65438254
-8.998583664,-70.46417234,113.3477077
-9.581972114,-68.03050376,186.7250932
-10.11308198,-68.63745692,257.4117243
-9.67842281,-71.40175844,159.9978495
-8.964287223,-72.96889231,150.4757036
-8.26599839,-70.63322546,218.552914
-8.262309087,-72.80354068,155.6908432
-8.79846221,-69.80771715,289.6618978
-9.272527814,-72.50099202,389.4404222
-10.62916674,-69.31164547,215.6072342
-8.874959755,-70.45809102,207.7900811
-8.459656793,-72.65341903,173.4625842
-7.892522277,-73.62987001,201.4532596
-8.399460762,-73.38734897,238.5763587
-10.437128,-70.19360158,170.494965
-10.55057324,-68.79573675,221.9704707
-9.302285182,-68.87901227,186.5073011
-10.68932678,-68.90558311,200.9965672
-7.439630378,-73.69385443,108.273935
-9.989145446,-70.36773537,153.6186519
-8.628160628,-72.12202761,205.5056408
-9.425937346,-71.53002502,183.0083937
-8.637294372,-72.51327882,201.0048493
-7.837056155,-71.4364002,252.7081306
-10.59833336,-69.37968995,264.3794514
-9.672521746,-68.49708536,165.3029391
-7.463352435,-73.90445784,223.6624085
-8.71271457,-70.12888836,258.3299787
-9.068925511,-70.54165979,166.0090738
-10.2896996,-70.30246985,177.0764422
-10.19395516,-68.48734814,119.1859697
-9.758235179,-71.02015374,185.3850648
-8.70275835,-72.10639188,190.0815564
-10.31940347,-69.60257236,200.6138407
-8.21196382,-71.08307562,186.3867277
-8.519381172,-70.45577988,295.7926473
-9.913940385,-68.7840511,190.9162941
-8.73220668,-71.59142309,229.1630105
-8.921693301,-72.25220119,216.6569789
-8.883319754,-70.18424265,187.1289601
-10.50074165,-69.59434925,142.0899436
-8.792639,-72.44538752,197.9529242
-10.80201201,-70.4967563,126.8011266
-8.026230403,-71.99662667,126.3580631
-8.491805648,-70.94047631,323.1865989
-8.889595093,-72.91020303,265.4253576
-10.63096987,-68.84791574,140.1755398
-7.937439806,-72.02070703,335.2460304
-9.301610414,-70.78385459,342.6952497
