RH5,RH10,RH15,RH20,RH25,RH30,RH35,RH40,RH45,RH50,RH55,RH60,RH65,RH70,RH75,RH80,RH85,RH90,RH95,RH100,AGB
2.12,4.91,8.82,11.2,13.27,15.05,16.87,18.72,20.52,21.95,23.15,24.35,25.7,26.95,27.95,28.9,29.92,31.25,33.03,40.6,351.2618653
4.92,8.29,10.23,13.2,15.83,18,20.48,22.33,24.18,25.53,26.5,27.3,28.1,28.82,29.6,30.45,31.4,32.55,34.2,41.88,398.6380351
6.68,3.24,4.37,6.66,10.09,13.11,15.73,18.15,20.18,22.03,24.32,25.82,27.11,28.46,29.72,30.69,31.72,33.34,35.72,43.24,300.651339
3.06,6.64,8.17,10.65,12.53,14.13,15.57,17.02,18.25,19.8,20.83,21.68,22.47,23.23,24.18,25.22,26.55,28.03,29.68,39.65,230.321607
5.03,6.9,11.07,14.12,16.48,18.4,20.3,21.83,22.97,23.92,24.7,25.33,25.93,26.52,27.12,27.73,28.45,29.25,30.27,37.2,272.6462593
3.52,6.65,8.44,9.79,10.83,12.82,14.18,15.72,17.23,18.83,19.85,20.92,22.1,23.25,24.58,25.65,27.03,28.15,29.48,38.12,193.2999236
3.41,6.57,9.18,11.8,13.88,15.63,17.17,18.43,19.45,20.38,21.18,21.92,22.65,23.3,23.97,24.67,25.45,26.4,27.62,35.8,207.4951493
5.62,12.53,14.92,17.23,18.93,20.37,21.63,22.75,23.9,24.92,25.68,26.35,26.97,27.72,28.58,29.37,30.15,31.05,32.28,39.63,458.0248717
3.54,7.4,9.95,11.68,13.18,14.53,15.82,17,18.15,19.32,20.48,21.63,22.62,23.63,24.62,25.55,26.42,27.42,28.9,37.95,296.617326
5.74,9.2,12.65,14.93,16.48,18.03,19.45,20.77,21.92,22.95,23.8,24.63,25.4,26.13,26.95,27.77,28.62,29.73,31.55,39.95,389.926612
6.3,8.29,10.29,11,12.28,13.5,14.87,16.2,17.33,18.17,18.92,19.73,20.55,21.7,22.97,24.28,25.5,26.9,28.65,36.73,244.2252023
